demo,snr,mode,seed,metric,value
WBM,2.0,even,42,fc_corr,0.3934234868223482
WBM,2.0,uneven,42,fc_corr,0.38029520531835115
WBM,5.0,uneven,42,fc_corr,0.36644414252566204
WBM,10.0,even,42,fc_corr,0.345948441173044
WBM,10.0,uneven,42,fc_corr,0.3441034044038346
WBM,5.0,even,42,fc_corr,0.3689478067506243
RNN,baseline,none,42,fc_corr,0.596927068826497
WBM,2.0,even,2,fc_corr,0.38018604560224983
WBM,2.0,uneven,2,fc_corr,0.38408914344585
WBM,5.0,even,2,fc_corr,0.3603255127318521
WBM,5.0,uneven,2,fc_corr,0.3614808040663613
WBM,10.0,even,2,fc_corr,0.33854773402590826
WBM,10.0,uneven,2,fc_corr,0.3464029010732687
WBM,10.0,uneven,1,fc_corr,0.3501873231479775
WBM,10.0,even,1,fc_corr,0.3413313024367787
WBM,5.0,uneven,1,fc_corr,0.3616534053684903
WBM,5.0,even,1,fc_corr,0.3673776499541652
WBM,2.0,uneven,1,fc_corr,0.37562807096272155
WBM,2.0,even,1,fc_corr,0.3974552862403575
